file,log_weight,rf_distance,weighted_rf,euclidean,tree,n_taxa,trim_taxon,particle_factor,tree_moves,type
output/50taxon-01/50taxon-01.run1.t,0.0,4,0.782682484001,0.110898788451,/shared/silo_researcher/Matsen_F/MatsenGrp/working/cmccoy/sts-online-experiments/trees/50taxon-01.nwk,50,,,,MrBayes
output/50taxon-01/50taxon-01.run1.t,0.0,4,0.766436809239,0.112768210685,/shared/silo_researcher/Matsen_F/MatsenGrp/working/cmccoy/sts-online-experiments/trees/50taxon-01.nwk,50,,,,MrBayes
output/50taxon-01/50taxon-01.run1.t,0.0,4,0.7834266458,0.113985554055,/shared/silo_researcher/Matsen_F/MatsenGrp/working/cmccoy/sts-online-experiments/trees/50taxon-01.nwk,50,,,,MrBayes
output/50taxon-01/50taxon-01.run1.t,0.0,2,0.777532662145,0.113635164453,/shared/silo_researcher/Matsen_F/MatsenGrp/working/cmccoy/sts-online-experiments/trees/50taxon-01.nwk,50,,,,MrBayes
output/50taxon-01/50taxon-01.run1.t,0.0,4,0.781339258212,0.110072195342,/shared/silo_researcher/Matsen_F/MatsenGrp/working/cmccoy/sts-online-experiments/trees/50taxon-01.nwk,50,,,,MrBayes
output/50taxon-01/50taxon-01.run1.t,0.0,4,1.15340928471,0.183893871489,/shared/silo_researcher/Matsen_F/MatsenGrp/working/cmccoy/sts-online-experiments/trees/50taxon-01.nwk,50,,,,MrBayes
output/50taxon-01/50taxon-01.run1.t,0.0,2,0.798419826091,0.107464024405,/shared/silo_researcher/Matsen_F/MatsenGrp/working/cmccoy/sts-online-experiments/trees/50taxon-01.nwk,50,,,,MrBayes
output/50taxon-01/50taxon-01.run1.t,0.0,4,0.896178316966,0.142695500236,/shared/silo_researcher/Matsen_F/MatsenGrp/working/cmccoy/sts-online-experiments/trees/50taxon-01.nwk,50,,,,MrBayes
output/50taxon-01/50taxon-01.run1.t,0.0,4,0.744866865831,0.100230332143,/shared/silo_researcher/Matsen_F/MatsenGrp/working/cmccoy/sts-online-experiments/trees/50taxon-01.nwk,50,,,,MrBayes
output/50taxon-01/50taxon-01.run1.t,0.0,2,0.718600995639,0.0973346006336,/shared/silo_researcher/Matsen_F/MatsenGrp/working/cmccoy/sts-online-experiments/trees/50taxon-01.nwk,50,,,,MrBayes
output/50taxon-01/50taxon-01.run1.t,0.0,4,0.751533780616,0.0959056991349,/shared/silo_researcher/Matsen_F/MatsenGrp/working/cmccoy/sts-online-experiments/trees/50taxon-01.nwk,50,,,,MrBayes
output/50taxon-01/50taxon-01.run1.t,0.0,2,0.743029297988,0.0982654247351,/shared/silo_researcher/Matsen_F/MatsenGrp/working/cmccoy/sts-online-experiments/trees/50taxon-01.nwk,50,,,,MrBayes
output/50taxon-01/50taxon-01.run1.t,0.0,2,0.83879082258,0.11463088207,/shared/silo_researcher/Matsen_F/MatsenGrp/working/cmccoy/sts-online-experiments/trees/50taxon-01.nwk,50,,,,MrBayes
output/50taxon-01/50taxon-01.run1.t,0.0,2,0.942412035402,0.129048174836,/shared/silo_researcher/Matsen_F/MatsenGrp/working/cmccoy/sts-online-experiments/trees/50taxon-01.nwk,50,,,,MrBayes
output/50taxon-01/50taxon-01.run1.t,0.0,2,0.978330675,0.138549540669,/shared/silo_researcher/Matsen_F/MatsenGrp/working/cmccoy/sts-online-experiments/trees/50taxon-01.nwk,50,,,,MrBayes
output/50taxon-01/50taxon-01.run1.t,0.0,4,0.959431071111,0.140468867883,/shared/silo_researcher/Matsen_F/MatsenGrp/working/cmccoy/sts-online-experiments/trees/50taxon-01.nwk,50,,,,MrBayes
output/50taxon-01/50taxon-01.run1.t,0.0,4,0.98502297879,0.171207939461,/shared/silo_researcher/Matsen_F/MatsenGrp/working/cmccoy/sts-online-experiments/trees/50taxon-01.nwk,50,,,,MrBayes
output/50taxon-01/50taxon-01.run1.t,0.0,4,0.8694632283,0.124867733117,/shared/silo_researcher/Matsen_F/MatsenGrp/working/cmccoy/sts-online-experiments/trees/50taxon-01.nwk,50,,,,MrBayes
